                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3732,                 3.2487,                 1.7231,                0.00333,                      1,                0.01165,                0.00686,                 1.8534,                 4.4371,                 2.7771,                      0,                      0,                      0
                      2,                 1.3923,                 3.0656,                  1.633,                0.00333,                      1,                0.01347,                0.00689,                 1.8711,                 4.2982,                 2.6928,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.2093,                 3.2007,                 1.5865,                0.00333,                      1,                0.03176,                0.00995,                 1.7076,                 3.8851,                 2.5096,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.3068,                 2.9339,                 1.6197,                0.00333,                      1,                0.05853,                 0.0229,                 1.4892,                 3.7579,                 2.1352,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.0119,                 3.0037,                 1.4105,                0.00333,                      1,                0.09744,                0.04741,                 1.3444,                 3.4758,                 1.8995,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.1565,                 2.7051,                   1.58,                0.00333,                      1,                0.13516,                0.09269,                 1.2396,                 3.3053,                 1.8383,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.1773,                 2.9292,                 1.4871,                0.00333,                      1,                0.16988,                0.13052,                 1.0712,                 3.4072,                 1.7475,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.2086,                 2.6715,                 1.5017,                0.00333,                      1,                    0.5,                 0.3765,                 1.1388,                 3.3251,                 1.7908,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.0756,                 2.3026,                 1.3691,                0.00333,                      1,                  0.665,                 0.4655,                 1.1431,                 3.3315,                 1.8218,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.1783,                 2.0936,                 1.3861,                0.00333,                      1,                   0.83,                 0.5546,                 1.0797,                 3.2722,                 1.7743,             0.00016396,             0.00016396,             0.00016396
                     11,                0.82041,                 1.7269,                 1.0855,                0.00333,                      1,                  0.863,                0.51436,                 1.1317,                 3.1584,                 1.7746,              0.0001802,              0.0001802,              0.0001802
                     12,                0.75517,                 1.7663,                 1.0872,                0.00333,                      1,                  0.995,                0.66471,                 1.0837,                 3.0114,                  1.706,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.0729,                 1.6985,                 1.2335,                 0.0036,                      1,                  0.995,                 0.6965,                0.96791,                 2.9626,                 1.6398,             0.00021149,             0.00021149,             0.00021149
                     14,                0.76911,                 1.4475,                 1.2015,                 0.3717,                      1,                 0.9125,                0.64757,                0.88506,                 2.8255,                 1.5208,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.0178,                 1.4222,                 1.2627,                0.71885,                 0.8754,                   0.83,                0.59597,                0.79894,                 2.8382,                  1.419,             0.00024119,             0.00024119,             0.00024119
