                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4721,                 4.4505,                 3.5177,                0.00333,                      1,                0.00905,                0.00238,                 3.0797,                  3.967,                 3.3199,                      0,                      0,                      0
                      2,                 3.3684,                 4.0828,                 3.4122,                0.00333,                      1,                0.00737,                0.00184,                 3.0884,                 3.9678,                 3.3304,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 3.3378,                  4.089,                 3.4098,                0.00333,                      1,                0.00878,                0.00232,                 3.0957,                 3.9713,                 3.3429,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                  3.158,                 3.9461,                 3.2963,                0.00333,                      1,                0.01401,                0.00346,                 3.0991,                 3.9756,                 3.3493,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 3.0609,                 3.8843,                  3.197,                0.00333,                      1,                0.01854,                0.00446,                 3.1019,                 3.9824,                 3.3509,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 3.1932,                 3.9471,                 3.2993,                0.00333,                      1,                0.02228,                0.00517,                 3.1047,                 3.9971,                 3.3519,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                  3.359,                 4.0779,                 3.1755,                0.00333,                      1,                 0.1023,                0.02152,                  3.107,                 4.0194,                 3.3518,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.2839,                 4.2233,                 3.2708,                0.00333,                      1,                0.02185,                0.00541,                 3.1134,                 4.0486,                 3.3433,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.1992,                 4.0369,                 3.1426,                0.00333,                      1,                0.02211,                0.00542,                 3.1248,                 4.0775,                 3.3372,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.3236,                 3.9415,                 3.2589,                0.00333,                      1,                0.02691,                 0.0066,                 3.1494,                 4.0968,                 3.3288,             0.00016396,             0.00016396,             0.00016396
